"","owner","farm_name","mill","in_country_partner","country_of_origin","altitude_low_meters","altitude_high_meters","altitude_mean_meters","number_of_bags","bag_weight","species","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","moisture","category_one_defects","category_two_defects","color","total_cup_points"
"11","mohammed lalo","fahem coffee plantation",NA,"METAD Agricultural Development plc","Ethiopia",1855,1955,1905,300,"60 kg","Arabica",NA,"Natural / Dry",8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,0.1,0,1,NA,88.08
"12","cqi q coffee sample representative","el filo",NA,"Almacafé","United States",1872,1872,1872,10,"1 kg","Arabica","Other","Washed / Wet",8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,0,0,0,NA,87.92
"13","cqi q coffee sample representative","los cedros",NA,"Almacafé","United States",1943,1943,1943,10,"1 kg","Arabica","Other","Washed / Wet",8.08,8.67,8.33,8.42,8,8.08,10,10,10,0,0,0,NA,87.92
"14","grounds for health admin","arianna farms",NA,"Specialty Coffee Association","United States (Hawaii)",609.6,609.6,609.6,1,"1","Arabica",NA,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,0,0,2,NA,87.92
"15","ethiopia commodity exchange","aolme","c.p.w.e","Ethiopia Commodity Exchange","Ethiopia",1570,1700,1635,300,"60 kg","Arabica",NA,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,0.05,0,2,NA,87.83
"16","cqi q coffee sample representative","el águila",NA,"Almacafé","United States",2080,2080,2080,10,"1 kg","Arabica","Other","Washed / Wet",8,8.5,8.58,8.17,8.17,8,10,10,10,0,0,0,NA,87.58
"17","grounds for health admin","toarco jaya",NA,"Specialty Coffee Association","Indonesia",1200,1800,1500,1,"2 kg,lbs","Arabica",NA,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,0.03,0,0,NA,87.42
"18","ethiopia commodity exchange",NA,NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,150,"6","Arabica",NA,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,0.05,0,2,NA,87.33
"19","yunnan coffee exchange","echo coffee","echo coffee mill","Yunnan Coffee Exchange","China",1450,1450,1450,3,"60 kg","Arabica","Catimor","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,0.1,0,0,"Green",87.25
"20","essencecoffee","drima zede","drima zede","Blossom Valley International","Ethiopia",1700,2000,1850,250,"60 kg","Arabica","Ethiopian Yirgacheffe","Natural / Dry",8.17,8.17,8,8.17,8.08,8.33,10,10,10,0,0,8,NA,87.25
"21","cqi q coffee sample representative","el rodeo",NA,"Almacafé","United States",2019,2019,2019,10,"1 kg","Arabica","Other","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,0,0,0,"None",87.25
"22","the coffee source inc.","several","cafe altura de san ramon","Specialty Coffee Association","Costa Rica",1300,1300,1300,250,"3 lbs","Arabica","Caturra","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,0.11,0,2,"Green",87.17
"23","roberto licona franco","la herradura","la herradura","AMECAFE","Mexico",1320,1320,1320,14,"1 kg","Arabica","Other","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,0.13,0,0,"Green",87.17
"24","cqi q coffee sample representative","la curva",NA,"Almacafé","United States",2112,2112,2112,10,"1 kg","Arabica","Other","Washed / Wet",8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,0,0,0,NA,87.08
"25","ji-ae ahn",NA,NA,"Specialty Coffee Institute of Asia","Ethiopia",NA,NA,NA,100,"60 kg","Arabica",NA,"Natural / Dry",8.42,8.17,7.92,8.17,8.33,8,10,10,10,0.11,0,1,"Bluish-Green",87.08
"26","nucoffee","fazenda kaquend",NA,"NUCOFFEE","Brazil",1250,1250,1250,3,"60 kg","Arabica","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,0.12,0,2,"Green",86.92
"27","ethiopia commodity exchange",NA,NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,150,"6","Arabica",NA,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,0.05,0,2,NA,86.92
"28","kabum trading company","chebonet (23) women coffee","kabum trading company","Uganda Coffee Development Authority","Uganda",1950,1950,1950,100,"60 kg","Arabica","SL14","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,0.12,0,1,"Green",86.83
"29","bismarck castro","los hicaques","cigrah s.a de c.v.","Instituto Hondure<U+00F1>o del Café","Honduras",1400,1400,1400,275,"69 kg","Arabica","Caturra",NA,8.17,8.08,8.08,8,8.08,8,10,10,10,0.1,0,3,"Green",86.67
"30","lin, che-hao krude 林哲豪","tsoustructive garden 鄒築園","tsoustructive garden 鄒築園","Specialty Coffee Association","Taiwan",1200,1200,1200,20,"50 kg","Arabica","Sumatra","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,0,0,0,"Green",86.58
"31","nora zeas",NA,"beneficio atlantic condega","Specialty Coffee Association","Nicaragua",NA,NA,NA,275,"6","Arabica",NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,0.08,0,2,NA,86.58
"32","specialty coffee-korea",NA,NA,"Specialty Coffee Institute of Asia","Tanzania, United Republic Of",NA,NA,NA,100,"60 kg","Arabica",NA,"Natural / Dry",8.42,8.17,8.17,8,7.58,8,10,10,10,0.11,0,1,"Bluish-Green",86.5
"33","nucoffee","fazenda recreio",NA,"NUCOFFEE","Brazil",1300,1300,1300,29,"60 kg","Arabica","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,0.12,0,2,"Green",86.42
"34","francisco a mena","exclusive coffees s.a.","exclusive coffees s.a,","Specialty Coffee Association of Costa Rica","Costa Rica",1300,1300,1300,250,"2 lbs","Arabica","Caturra","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,0,0,0,"Blue-Green",86.33
"35","hider abamecha","haider abamecha coffee plantation","faysal abamecha processing plant at yebu town","METAD Agricultural Development plc","Ethiopia",1750,1800,1775,320,"60 kg","Arabica",NA,"Natural / Dry",8,8.08,7.92,8,8.08,8.08,10,10,10,0.1,0,3,"Green",86.25
"36","daniel magu","kangunu","central kenya coffee mills","Kenya Coffee Traders Association","Kenya",1800,1800,1800,320,"1 kg","Arabica","SL34","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,0.12,0,1,"Blue-Green",86.25
"37","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,10,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",8.08,8.17,8,7.92,7.92,7.83,10,10,10,0,1,4,NA,86.25
"38","kona pacific farmers cooperative","kona pacific farmers cooperative",NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,25,"100 lbs","Arabica",NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,0,2,1,NA,86.25
"39","ethiopia commodity exchange","phone number | 0911-51-08-01, email | at",NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,300,"6","Arabica",NA,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,0.1,0,2,NA,86.25
"40","cqi q coffee sample representative","la primavera",NA,"Almacafé","United States",1941,1941,1941,10,"1 kg","Arabica","Other","Washed / Wet",7.67,8.17,8,8,8.17,8.08,10,10,10,0,0,0,NA,86.17
"41","itdp international","co-op #12",NA,"Specialty Coffee Association","Thailand",1300,1300,1300,53,"1 kg","Arabica","Caturra","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,0.1,1,9,"Green",86.17
"42","jacques pereira carneiro","pereira estate coffee","cocarive","Specialty Coffee Association","Brazil",12,12,12,300,"60 kg","Arabica","Yellow Bourbon",NA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,0.08,0,2,NA,86.17
"43","jacques pereira carneiro","pereira estate coffee","cocarive","Specialty Coffee Association","Brazil",12,12,12,300,"60 kg","Arabica","Yellow Bourbon",NA,8.42,7.92,8,7.75,7.92,8,10,10,10,0.01,0,3,NA,86.17
"44","lin, che-hao krude 林哲豪","sunshine valley estate 向陽高山咖啡","sunshine valley estate 向陽高山咖啡","Specialty Coffee Association","Taiwan",1000,1000,1000,10,"15 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,0.12,0,0,"Green",86.08
"45","jungle estate","jungle estate","nkg coffee mills","Kenya Coffee Traders Association","Kenya",1754,1754,1754,12,"60 kg","Arabica","SL28","Natural / Dry",8.08,8.08,8,8,7.83,8.08,10,10,10,0.11,0,2,"Bluish-Green",86.08
"46","nucoffee","fazenda kaquend",NA,"NUCOFFEE","Brazil",1250,1250,1250,7,"60 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,0.11,0,2,"Blue-Green",86.08
"47","great lakes coffee uganda","kaasayi","great lakes coffee","Uganda Coffee Development Authority","Uganda",NA,NA,NA,1,"60 kg","Arabica",NA,"Semi-washed / Semi-pulped",8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,0,0,0,NA,86
"48","lusso lab","ecobio colombia",NA,"Specialty Coffee Association","Colombia",900,1500,1200,1,"2 kg","Arabica","Caturra","Washed / Wet",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,0.12,1,1,"Green",86
"49","lusso lab","kianjavi",NA,"Specialty Coffee Association","Kenya",1520,2200,1860,1,"1 kg","Arabica","SL28","Washed / Wet",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,0.11,0,1,"Green",86
"50","afca",NA,NA,"Africa Fine Coffee Association","Uganda",1400,1900,1650,1,"60 kg","Arabica","Other","Washed / Wet",8.25,8,7.83,8.08,8,7.92,10,10,10,0.1,0,0,"Blue-Green",86
"51","ethiopia commodity exchange","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","Ethiopia Commodity Exchange","Ethiopia",1500,2000,1750,300,"6","Arabica",NA,NA,7.75,8.08,8,8.25,8,8,10,10,10,0.01,0,4,NA,86
"52","grounds for health admin","hula daddy kona coffee",NA,"Specialty Coffee Association","United States (Hawaii)",426.72,426.72,426.72,1,"2","Arabica",NA,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,0,0,0,NA,86
"53","juan luis alvarado romero","la esperanza y anexos","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",NA,NA,NA,80,"69 kg","Arabica","Bourbon","Washed / Wet",7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,0.1,0,3,"Green",85.92
"54","kawacom uganda ltd","sipi organic coffee project","kawacom","Uganda Coffee Development Authority","Uganda",1400,1900,1650,1,"60 kg","Arabica","SL14","Natural / Dry",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,0.12,0,0,"Green",85.92
"55","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1800,1800,1800,275,"70 kg","Arabica","Caturra","Washed / Wet",8,8,8,8.17,7.83,8,10,10,10,0,1,0,"Blue-Green",85.92
"56","gonzalo hernandez","la berlina estate","beneficio casa ruiz s.a.","Specialty Coffee Association of Costa Rica","Panama",1600,1600,1600,37,"60 kg","Arabica","Gesha","Washed / Wet",8,8,7.92,8.08,7.83,8,10,10,10,0.08,0,0,"Bluish-Green",85.83
"57","ibrahim hussien speciality coffee producer &export",NA,"burka gudina","METAD Agricultural Development plc","Ethiopia",1800,2000,1900,320,"60 kg","Arabica",NA,"Washed / Wet",7.83,8.08,7.92,8.08,8,7.92,10,10,10,0.1,0,4,"Green",85.83
"58","juan luis alvarado romero","valparaiso","beneficio valparaiso","Asociacion Nacional Del Café","Guatemala",1524,1524,1524,150,"1 kg","Arabica","Bourbon","Washed / Wet",7.83,8,8,8.17,7.83,8,10,10,10,0.12,0,3,"Green",85.83
"59","juan luis alvarado romero","finca el limon","beneficio serben","Asociacion Nacional Del Café","Guatemala",1417.32,1417.32,1417.32,275,"1 kg","Arabica","Catuai","Washed / Wet",8,8,7.83,8.33,7.83,7.83,10,10,10,0.1,0,1,"Bluish-Green",85.83
"60","seid damtew coffee planataion","seid damtew coffee planation","seid damtew coffee export and plantation","METAD Agricultural Development plc","Ethiopia",NA,NA,NA,320,"19200 kg","Arabica","Caturra","Natural / Dry",7.83,8,7.83,8.17,7.92,8,10,10,10,0.09,0,7,"None",85.75
"61","dane loraas",NA,NA,"Specialty Coffee Association","Peru",NA,NA,NA,280,"5 lbs","Arabica",NA,"Washed / Wet",8,8,8,8.08,7.92,7.75,10,10,10,0.1,4,6,"Green",85.75
"62","colbran coffeelands, ltd.","tairora cherry – bonta","baroida","Specialty Coffee Association","Papua New Guinea",1700,1700,1700,7,"60 kg","Arabica",NA,"Washed / Wet",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,0.12,0,1,"Bluish-Green",85.75
"63","atlantic specialty coffee","el majahual","j. hill y cia","Specialty Coffee Association","El Salvador",1500,1500,1500,275,"2 kg","Arabica","Bourbon","Washed / Wet",7.92,8.17,8,7.92,7.75,7.83,10,10,10,0.1,0,3,"Blue-Green",85.58
"64","lusso lab","finca la esmeralda","aqua caliente, j.j. borja nathan. s.a","Specialty Coffee Association","El Salvador",1300,1400,1350,19,"1 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",7.83,8,8,7.75,7.92,8.17,10,10,10,0.11,0,0,"None",85.58
"65","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,8,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.83,8,7.92,7.75,8.08,8,10,10,10,0,0,1,NA,85.58
"66","essencecoffee","elida estate","elida estate","Blossom Valley International","Panama",1680,1680,1680,100,"60 kg","Arabica","Caturra","Natural / Dry",8,7.75,7.83,7.83,7.67,8.58,10,10,10,0.09,2,2,NA,85.5
"67","essencecoffee","inoi","inoi","Blossom Valley International","Kenya",1900,1900,1900,16,"60 kg","Arabica","SL28","Natural / Dry",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,0.1,0,3,"Green",85.5
"68","assefa belay coffee producer",NA,NA,"METAD Agricultural Development plc","Ethiopia",1800,2000,1900,320,"60 kg","Arabica","Other","Natural / Dry",7.83,8,7.83,7.92,7.83,8.08,10,10,10,0.12,0,7,"Green",85.5
"69","kyagalanyi ltd","buginyanya","kyagalanyi coffee ltd","Uganda Coffee Development Authority","Uganda",1600,1600,1600,320,"60 kg","Arabica","SL14","Washed / Wet",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,0.12,0,1,"Green",85.5
"70","juan luis alvarado romero","asoperc","beneficio exportacafe agua santa","Asociacion Nacional Del Café","Guatemala",1706.88,1755.648,1731.264,250,"69 kg","Arabica","Bourbon","Washed / Wet",8,7.83,7.67,8.33,7.83,8,10,10,10,0.11,0,1,"Green",85.5
"71","assefa belay coffee producer",NA,NA,"METAD Agricultural Development plc","Ethiopia",1800,2000,1900,320,"60 kg","Arabica",NA,"Washed / Wet",7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,0.1,0,18,"Green",85.42
"72","great lakes coffee uganda","chesiyo farmer group","great lakes coffee","Uganda Coffee Development Authority","Uganda",1950,1950,1950,150,"60 kg","Arabica","SL14","Washed / Wet",8.08,8,7.83,7.67,8,7.83,10,10,10,0.12,0,5,"Green",85.42
"73","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,8,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,0,4,6,NA,85.42
"74","nucoffee","fazenda serra de três barras",NA,"NUCOFFEE","Brazil",1250,1250,1250,5,"60 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,0.11,0,1,"Blue-Green",85.42
"75","grounds for health admin","sierra nevada","beneficio las tres puertas","Specialty Coffee Association","El Salvador",1400,1400,1400,2,"1 kg,lbs","Arabica",NA,NA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,0.01,0,0,NA,85.42
"76","yunnan coffee exchange","pu'er city longke coffee co.ltd","pu'er city longke coffee co.ltd","Yunnan Coffee Exchange","China",1700,1700,1700,3,"60 kg","Arabica","Catimor","Natural / Dry",8,8,8,7.83,7.83,7.75,10,10,10,0.1,0,0,"Green",85.33
"77","essencecoffee","el injerto s.a.","el injerto s.a.","Blossom Valley International","Guatemala",1770,1770,1770,36,"30 kg","Arabica","Pacamara","Natural / Dry",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,0.11,0,1,"Green",85.33
"78","the coffee source inc.","several","cafe altura de san ramon","Specialty Coffee Association","Costa Rica",1300,1300,1300,250,"3 lbs","Arabica","Caturra","Washed / Wet",7.92,8.08,8,7.92,8,8.08,10,10,9.33,0,0,0,"Bluish-Green",85.33
"79","the coffee source inc.","several","cafe altura de san ramon","Specialty Coffee Association","Costa Rica",1300,1300,1300,250,"3 lbs","Arabica","Caturra","Washed / Wet",8,7.58,7.58,7.67,8.08,8.5,10,10,10,0.1,0,2,"Bluish-Green",85.33
"80","rashid moledina & co. (msa) ltd.",NA,NA,"Kenya Coffee Traders Association","Kenya",1600,1600,1600,20,"60 kg","Arabica","SL34","Washed / Wet",7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,0,0,2,"Green",85.33
"81","ibero kenya limited",NA,"nkg/ck/hc/ss/kccm","Kenya Coffee Traders Association","Kenya",1200,1200,1200,300,"60 kg","Arabica","SL34","Washed / Wet",8,7.92,7.92,8.08,7.83,7.75,10,10,10,0,0,6,"Green",85.33
"82","ethiopia commodity exchange","phone number | 0911-513824 email: gmt.ft",NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,360,"6 kg","Arabica",NA,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,0.05,0,2,NA,85.33
"83","ethiopia commodity exchange",NA,NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,300,"6","Arabica","Typica",NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,0.1,0,3,NA,85.33
"84","juan luis alvarado romero","la esperanza y anexos","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",NA,NA,NA,250,"69 kg","Arabica","Bourbon",NA,8,7.92,7.75,8,7.92,7.83,10,10,10,0.1,0,2,"Green",85.25
"85","exportadora de cafe condor s.a","various","trilladora agricola","Almacafé","Colombia",1550,1550,1550,275,"70 kg","Arabica","Caturra","Washed / Wet",8.17,7.92,7.83,8,7.58,7.83,10,10,10,0.11,0,0,"Green",85.25
"86","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora boananza","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Natural / Dry",7.58,8.08,7.92,7.83,8,7.92,10,10,10,0.12,0,2,"Green",85.25
"87","nomura trading co., ltd.",NA,NA,"Specialty Coffee Association","Indonesia",1250,1400,1325,54,"60 kg","Arabica","Sumatra Lintong","Semi-washed / Semi-pulped",7.75,7.83,7.67,8,8.08,7.83,10,10,10,0.11,0,3,"Green",85.17
"88","the coffee source inc.","coop. hoja blanca - fedecocagua","coop. hoja blanca - fedecocagua","Specialty Coffee Association","Guatemala",1400,1400,1400,250,"1 kg","Arabica","Caturra","Washed / Wet",8.25,8,7.67,7.92,7.75,7.67,10,10,10,0,0,7,NA,85.17
"89","seid damtew coffee planataion","seid damtew coffee planation","at site and addis ababa","METAD Agricultural Development plc","Ethiopia",NA,NA,NA,320,"19200 kg","Arabica","Other","Natural / Dry",7.75,8,7.58,8,8,7.92,10,10,10,0.11,0,8,"Green",85.08
"90","carcafe ltda ci",NA,"pasto","Almacafé","Colombia",2560,2560,2560,250,"70 kg","Arabica","Caturra","Natural / Dry",8.17,7.83,7.58,8.08,8,7.75,10,10,10,0,0,0,NA,85.08
"91","steven kil","aricha coop","aricha coop","Specialty Coffee Association","Ethiopia",1700,1700,1700,100,"60 kg","Arabica",NA,"Natural / Dry",8.42,8,7.42,8,7.92,7.92,9.33,10,10,0.1,2,7,"Green",85.08
"92","eileen koyanagi",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,12,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,0.11,2,2,"Bluish-Green",85.08
"93","carcafe ltda ci",NA,NA,"Almacafé","Colombia",2136,2136,2136,250,"70 kg","Arabica","Caturra","Natural / Dry",7.83,8,7.75,7.75,7.83,7.83,10,10,10,0.11,0,8,"Green",85.08
"94","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,13,"100 lbs","Arabica",NA,NA,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,0.01,1,7,NA,85.08
"95","ethiopia commodity exchange",NA,NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,360,"6","Arabica",NA,NA,7.67,8,7.83,8,7.92,7.83,10,10,10,0,0,5,NA,85.08
"96","kona pacific farmers cooperative","kona pacific farmers cooperative","kona pacific farmers cooperative","Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,27,"0 lbs","Arabica",NA,NA,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,0,0,0,NA,85.08
"97","kyagalanyi coffee ltd","mount elgon area","kyagalanyi coffee ltd","Uganda Coffee Development Authority","Uganda",1800,1800,1800,200,"60 kg","Arabica","SL14","Washed / Wet",8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,0.11,0,1,"Green",85
"98","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,135,"70 kg","Arabica","Caturra","Washed / Wet",8,7.92,7.75,7.92,7.75,7.83,10,10,10,0,0,3,"Green",85
"99","troy quimby","estate la patricia","micro beneficio la caba<U+00F1>a-javier meza","Specialty Coffee Association","Costa Rica",1900,1900,1900,36,"46 kg","Arabica","Catuai","Washed / Wet",7.83,8,7.58,7.92,7.92,7.83,10,10,10,0.12,1,1,"Green",85
"100","el equimite, cafetal biodinámico","various","cafetal el equimite, rancho agroecológico","Centro Agroecológico del Café A.C.","Mexico",1300,1300,1300,1,"30 kg","Arabica","Typica","Washed / Wet",7.83,8,7.83,7.75,7.67,7.83,10,10,10,0.09,0,3,"Green",85
"101","simon mahinda",NA,"ckcm","Kenya Coffee Traders Association","Kenya",1,1,1,170,"60 kg","Arabica",NA,"Washed / Wet",8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,0.11,0,7,"Green",85
"102","rashid moledina & co. (msa) ltd.","machure estate",NA,"Kenya Coffee Traders Association","Kenya",1580,1580,1580,38,"60 kg","Arabica","SL34","Washed / Wet",7.75,7.83,7.75,8.08,8,7.75,10,10,10,0,0,5,"Green",85
"103","nucoffee","sitío s<U+00E3>o geraldo",NA,"NUCOFFEE","Brazil",1100,1100,1100,31,"60 kg","Arabica","Mundo Novo","Natural / Dry",8,8,7.83,7.83,7.67,7.67,10,10,10,0.12,0,3,"Green",85
"104","young kim","kassandra",NA,"Specialty Coffee Association","Mexico",1400,1400,1400,1,"1 kg","Arabica","Pacamara",NA,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,0,0,0,NA,85
"105","kona pacific farmers cooperative","kona pacific farmers cooperative",NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,15,"100 lbs","Arabica",NA,NA,7.75,7.92,7.75,7.75,8,8,10,10,10,0,0,1,NA,85
"106","carl walker","la igualdad","concepcion","Specialty Coffee Association","Guatemala",1066.8,1584.96,1325.88,275,"69 kg","Arabica",NA,NA,7.83,8.08,7.67,8,7.75,7.67,10,10,10,0.04,0,1,NA,85
"107","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,243,"70 kg","Arabica","Caturra","Washed / Wet",7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,0,1,2,NA,84.92
"108","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,252,"70 kg","Arabica","Caturra","Washed / Wet",7.92,7.83,7.75,7.83,7.75,8,10,10,10,0.12,0,1,"Green",84.92
"109","lin, che-hao krude 林哲豪","baishengcun coffee 百勝村咖啡莊園","baishengcun coffee 百勝村咖啡莊園","Specialty Coffee Association","Taiwan",800,800,800,20,"40 kg","Arabica","Typica","Semi-washed / Semi-pulped",7.67,7.83,8,7.58,8,7.92,10,10,10,0.11,0,0,"Green",84.92
"110","taylor winch (t) ltd","hasambo amcos","taylor winch (t) ltd","Africa Fine Coffee Association","Tanzania, United Republic Of",1620,1620,1620,134,"60 kg","Arabica","Other","Washed / Wet",8,7.83,7.83,7.92,7.75,7.75,10,10,10,0.12,0,2,"Green",84.92
